date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:42	9572/9572	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa2-2564%22	http://ancientmessene.gr/content/monuments/thumbs/09181205156.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205156.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:08:17	698570/698570	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dc5-aa8ca%22	http://ancientmessene.gr/content/monuments/images/09181205017.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205017.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:08:19	10814/10814	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa3-2a3e%22	http://ancientmessene.gr/content/monuments/thumbs/09181205224.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205224.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:08:23	537384/537384	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dc4-83328%22	http://ancientmessene.gr/content/monuments/images/09181205136.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205136.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:08:25	11466/11466	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa3-2cca%22	http://ancientmessene.gr/content/monuments/thumbs/09181205259.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205259.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:08:25	499619/499619	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dce-79fa3%22	http://ancientmessene.gr/content/monuments/images/09181205156.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205156.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:08:27	8326/8326	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa3-2086%22	http://ancientmessene.gr/content/monuments/thumbs/09181205323.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205323.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:03	236313/236313	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3de2-39b19%22	http://ancientmessene.gr/content/monuments/images/09181205323.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205323.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:05	9662/9662	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa3-25be%22	http://ancientmessene.gr/content/monuments/thumbs/09181205347.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205347.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:11	552957/552957	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dd8-86ffd%22	http://ancientmessene.gr/content/monuments/images/09181205224.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205224.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:13	10510/10510	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa4-290e%22	http://ancientmessene.gr/content/monuments/thumbs/09181205418.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205418.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:41	458109/458109	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3de6-6fd7d%22	http://ancientmessene.gr/content/monuments/images/09181205347.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205347.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:42	7843/7843	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa4-1ea3%22	http://ancientmessene.gr/content/monuments/thumbs/09181205449.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205449.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:53	580182/580182	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dde-8da56%22	http://ancientmessene.gr/content/monuments/images/09181205259.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205259.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:53	3131/3131	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa4-c3b%22	http://ancientmessene.gr/content/monuments/thumbs/09181205528.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205528.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:56	269300/269300	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3def-41bf4%22	http://ancientmessene.gr/content/monuments/images/09181205449.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205449.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:56	320900/320900	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3def-4e584%22	http://ancientmessene.gr/content/monuments/images/09181205418.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205418.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:09:58	7928/7928	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa4-1ef8%22	http://ancientmessene.gr/content/monuments/thumbs/09181205624.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205624.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:10:00	10452/10452	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa4-28d4%22	http://ancientmessene.gr/content/monuments/thumbs/09181205653.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205653.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:10:03	128542/128542	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3df2-1f61e%22	http://ancientmessene.gr/content/monuments/images/09181205528.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205528.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:10:05	8476/8476	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa4-211c%22	http://ancientmessene.gr/content/monuments/thumbs/09181205723.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205723.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:10:57	397777/397777	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dfc-611d1%22	http://ancientmessene.gr/content/monuments/images/09181205624.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205624.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:10:59	7595/7595	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa5-1dab%22	http://ancientmessene.gr/content/monuments/thumbs/09181205744.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205744.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:11:12	415514/415514	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3e09-6571a%22	http://ancientmessene.gr/content/monuments/images/09181205744.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205744.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:11:13	7815/7815	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa5-1e87%22	http://ancientmessene.gr/content/monuments/thumbs/09181205806.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205806.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:11:13	457805/457805	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3e0a-6fc4d%22	http://ancientmessene.gr/content/monuments/images/09181205723.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205723.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:11:15	9357/9357	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa5-248d%22	http://ancientmessene.gr/content/monuments/thumbs/09181205905.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205905.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:11:30	584358/584358	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3dfd-8eaa6%22	http://ancientmessene.gr/content/monuments/images/09181205653.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205653.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:11:32	9286/9286	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa5-2446%22	http://ancientmessene.gr/content/monuments/thumbs/09181205945.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181205945.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:12:07	426873/426873	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3e17-68379%22	http://ancientmessene.gr/content/monuments/images/09181205806.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205806.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:12:09	8420/8420	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa5-20e4%22	http://ancientmessene.gr/content/monuments/thumbs/09181210039.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181210039.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:12:13	252562/252562	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3e20-3da92%22	http://ancientmessene.gr/content/monuments/images/09181210039.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181210039.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:12:15	9559/9559	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3fa6-2557%22	http://ancientmessene.gr/content/monuments/thumbs/09181210100.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/thumbs/09181210100.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
13:12:20	412667/412667	---M--	200	added ('OK')	image/jpeg	etag:%225b2e3e1a-64bfb%22	http://ancientmessene.gr/content/monuments/images/09181205905.jpg	E:/My%20Vault/ancientmessene/ancientmessene.gr/content/monuments/images/09181205905.jpg	(from http://ancientmessene.gr/monuments_photos.php?id=16)
